feature,importance
debt_to_total_liabilities,12.770178833310847
roa_ru_tax,9.705015598214601
absolute_liquidity,7.329741516810091
total_assets_turnover,6.112857284261177
receivables_to_total_assets,5.770582288752073
days_purch_outst,4.631797313839391
days_sales_outst,3.9219005633591895
total_debt,3.0069078495520745
payables_turnover,2.966014326747578
roe,2.7367566267939654
2110_revenue,2.658842026742617
inventory_turnover,2.6109881186740904
receivables_turnover,2.584498106481869
asset_conversion_period,2.4049137710434585
cogs_to_revenue,2.293027145791931
roa,2.2718865789565728
net_profit_margin,2.1866153979586582
ebit,1.4640171278569782
net_debt_to equity,1.3884403129257767
own_working_capital_adequacy,1.3662569564914646
equity_concentration,1.2791787949986242
days_inventory_outst,1.2417069548403403
net_assets,1.125325996695066
working_capital,1.0972032924481594
equity_maneuverability,1.096695039101952
fa_turnover_ratio,1.0398317325083133
ebitm,1.015182432245975
debt_to_equity,0.9299555948537684
gpm_on_sgna,0.9125345278349786
working_capital_to_total_assets,0.9107370251950937
quick_liquidity,0.8315650694565807
return_on_costs,0.8190107255812302
opm,0.8145863929774324
owners_equity,0.7744243456391671
cae_to_revenue,0.7656367222569826
current_liquidity,0.7488441391312796
std_to_total_debt,0.6849961848432553
ltd_to_total_capitalization,0.6409529610969764
fa_conversion_period,0.5908472908000655
total_debt_to_equity,0.5584675404177302
gross_margin_to_total_assets,0.5511860667155175
total_debt_to_ebit,0.5408267237475051
interest_coverage,0.455711813403132
gpm_on_cogs,0.2251003431844399
gpm,0.16825454546202423
