feature,importance
debt_to_total_liabilities,15.62868517009418
absolute_liquidity,10.113213916458852
asset_conversion_period,7.964370549678534
roa_ru_tax,5.9474570520208845
roa,5.904958642136161
total_debt,5.353448087125035
2110_revenue,5.2838077954905485
total_assets_turnover,5.221963040015045
cogs_to_revenue,4.432784301577414
receivables_to_total_assets,4.234480844382362
net_profit_margin,3.924565366103194
roe,3.688279730519869
payables_turnover,3.381139471314572
receivables_turnover,3.208690820885859
ebit,3.0500444096144577
days_purch_outst,3.0270283047834385
days_sales_outst,2.964065106651452
inventory_turnover,2.655603164331374
net_debt_to equity,2.436325324979338
own_working_capital_adequacy,1.5790889018374155
